日期收录,活动名称,类型,地区,城市,开始日期,结束日期,报名截止,官方链接,来源
2026-08-26,AGIC深圳通用人工智能大会2026,大会及边会,中国大陆,深圳,2026-08-26,2026-08-28,,https://www.agicexpo.com/AGICMeeting,agicexpo.com
2026-08-26,She Nicest 2026 Summer Hackathon硬件赛道,Hackathon,中国大陆,北京,2026-08-26,2026-08-26,,https://events.waytoagi.com/events/她构未来-she-nicest-2026-summer-hackathon-硬件选手招募,WaytoAGI Events
2026-08-26,VibeHacks #05,Hackathon,中国大陆,北京,2026-08-29,2026-08-29,2026-08-29,https://events.waytoagi.com/events/vibehacks-05,WaytoAGI Events
2026-08-26,全国AI切磋大会北京站成都站,Meetup,中国大陆,北京/成都,2026-08-30,2026-08-30,2026-08-30,https://events.waytoagi.com/events/8月30日全国-ai-切磋大会,WaytoAGI Events
2026-08-26,火山引擎开发者技术日NVIDIA协办,Meetup,中国大陆,成都,2026-08-30,2026-08-30,2026-08-30,https://events.waytoagi.com/events/火山引擎开发者社区技术日,WaytoAGI Events
2026-08-26,让未来降落科技向善黑客松,Hackathon,中国大陆,北京,2026-09-03,2026-09-05,,https://events.waytoagi.com/events/让未来-降落-科技向善黑客松,WaytoAGI Events
2026-08-26,KubeCon CloudNativeCon OpenInfra PyTorch China 2026,大会,中国大陆,上海,2026-09-07,2026-09-07,,https://events.waytoagi.com/events/kubecon-cloudnativecon-openinfra-summit-pytorch-conference-c,WaytoAGI Events
2026-08-26,外滩大会×Yuri Surreal AI音乐演出,大会边会,中国大陆,上海,2026-09-11,2026-09-11,,https://events.waytoagi.com/events/2026-inclusion-外滩大会,WaytoAGI Events
2026-08-26,CNCC 2026 AI市集摊主招募,大会,中国大陆,成都,2026-10-21,2026-10-24,,https://events.waytoagi.com/events/cncc-2026-ai市集-摊主招募,WaytoAGI Events
2026-08-26,OpenAI DevDay 2026,大会,北美,旧金山,2026-09-29,2026-09-29,,https://devday.openai.com,openai.com
2026-08-26,The AI Conference 2026,大会及边会,北美,旧金山,2026-09-29,2026-10-01,,https://aiconference.com,aiconference.com
2026-08-26,TechCrunch Disrupt 2026,大会及边会,北美,旧金山,2026-10-13,2026-10-15,2026-09-04(边会申请),https://techcrunch.com/events/techcrunch-disrupt/side-events/,TechCrunch
2026-08-26,OpenAI Codex Meetup San Francisco Hackathon,Hackathon,北美,旧金山,2026-08-29,2026-08-29,2026-08-29,https://luma.com/qbp3ck7t,developers.openai.com
2026-08-26,DevNetwork API+Cloud+AI Hackathon 2026 @ API World,Hackathon,北美,圣克拉拉,2026-08-17,2026-09-03,2026-09-03,https://api-cloud-ai-hackathon-2026.devpost.com,Devpost
2026-08-26,Philly AI Summit 2026,大会,北美,费城,2026-09-19,2026-09-19,,https://www.eventbrite.com/e/philly-ai-summit-tickets-1987069261652,Eventbrite
2026-08-26,YC F26 Demo Day,Demo Day,北美,旧金山,2026-12-02,2026-12-02,,https://www.ycombinator.com/blog/2026-demo-days,ycombinator.com
2026-08-26,OpenAI Codex Hackathon London,Hackathon,欧洲,伦敦,2026-08-30,2026-08-30,2026-08-30,https://luma.com/hacksprint-london,developers.openai.com
2026-08-26,OpenAI Codex Hackathon Bucharest,Hackathon,欧洲,布加勒斯特,2026-08-28,2026-08-28,2026-08-28,https://luma.com/82q9aclg,developers.openai.com
2026-08-26,Sunra×伦敦设计节AI创意图像大赛,大会边会,欧洲,伦敦,2026-09-12,2026-09-12,,https://events.waytoagi.com/events/sunra-伦敦设计节,WaytoAGI Events
